iter	Passed	Remaining
0	145	145787
1	147	73470
2	149	49649
3	150	37434
4	151	30174
5	153	25386
6	155	22077
7	157	19540
8	159	17539
9	161	15978
10	162	14590
11	163	13473
12	164	12477
13	165	11638
14	166	10961
15	167	10308
16	168	9768
17	170	9298
18	172	8884
19	173	8520
20	174	8144
21	176	7844
22	178	7562
23	179	7309
24	180	7058
25	181	6808
26	183	6599
27	184	6402
28	185	6198
29	186	6020
30	187	5853
31	188	5697
32	189	5559
33	190	5426
34	191	5290
35	192	5157
36	193	5034
37	194	4913
38	194	4801
39	196	4709
40	197	4613
41	198	4520
42	199	4429
43	199	4339
44	200	4257
45	201	4175
46	202	4096
47	202	4021
48	203	3948
49	204	3879
50	204	3809
51	205	3742
52	205	3677
53	206	3614
54	206	3553
55	207	3498
56	208	3444
57	208	3389
58	209	3338
59	209	3287
60	210	3238
61	210	3191
62	211	3145
63	211	3100
64	212	3056
65	212	3013
66	213	2974
67	214	2937
68	214	2900
69	215	2862
70	215	2825
71	216	2789
72	217	2755
73	217	2721
74	218	2688
75	218	2656
76	219	2625
77	219	2594
78	220	2567
79	220	2540
80	221	2512
81	221	2485
82	222	2455
83	222	2429
84	223	2403
85	223	2379
86	224	2355
87	224	2331
88	225	2307
89	226	2287
90	226	2266
91	227	2245
92	228	2225
93	228	2204
94	229	2185
95	229	2165
96	230	2145
97	231	2126
98	231	2106
99	231	2087
100	232	2070
101	233	2054
102	233	2037
103	234	2019
104	234	2003
105	235	1986
106	236	1970
107	236	1954
108	237	1939
109	237	1924
110	238	1909
111	239	1896
112	239	1882
113	240	1867
114	240	1854
115	241	1840
116	242	1826
117	242	1813
118	243	1800
119	243	1786
120	244	1773
121	244	1759
122	245	1748
123	245	1737
124	246	1725
125	247	1713
126	247	1700
127	248	1689
128	248	1679
129	249	1667
130	249	1657
131	250	1646
132	250	1635
133	251	1626
134	252	1617
135	252	1607
136	253	1596
137	254	1586
138	254	1576
139	255	1566
140	255	1557
141	256	1546
142	256	1537
143	257	1527
144	257	1518
145	258	1510
146	258	1502
147	259	1493
148	259	1484
149	260	1475
150	261	1467
151	261	1459
152	262	1450
153	262	1442
154	263	1433
155	263	1426
156	264	1418
157	264	1411
158	265	1404
159	265	1396
160	266	1387
161	266	1380
162	267	1372
163	267	1365
164	268	1357
165	268	1350
166	269	1343
167	269	1337
168	270	1332
169	271	1326
170	272	1319
171	272	1313
172	273	1306
173	273	1299
174	274	1293
175	274	1286
176	275	1279
177	275	1273
178	276	1266
179	276	1261
180	277	1256
181	278	1250
182	278	1244
183	279	1238
184	279	1232
185	280	1226
186	280	1221
187	281	1215
188	282	1210
189	282	1204
190	283	1199
191	283	1194
192	284	1189
193	284	1183
194	285	1178
195	285	1172
196	286	1167
197	286	1162
198	287	1157
199	287	1151
200	288	1146
201	288	1141
202	289	1137
203	290	1133
204	290	1128
205	291	1123
206	291	1118
207	292	1113
208	292	1108
209	293	1104
210	293	1099
211	294	1094
212	295	1090
213	295	1086
214	296	1082
